Alpha,Coef,Aero,Alpha,Beta,p,q,r,Mach,U,ConGrp_1,ConGrp_2,ConGrp_3,ConGrp_4
-12,CL,-0.8327044,4.891505,0.3536877,0.0502128,12.2548754,0.0480383,-0.0647033,-0.00682888,-0.7789069,0.592434,0.01992461,0.02049071
-11,CL,-0.7530253,4.5296292,-0.0075955,0.0089764,12.170701,-0.0214192,-0.0644516,-0.00618536,-0.7758317,0.57061561,0.01085362,0.01501239
-10,CL,-0.6738256,4.5191052,-0.0087523,0.0083992,11.0118563,0.0068396,-0.0580601,-0.00552145,-0.7753505,0.55223574,0.00404563,0.01071018
-9,CL,-0.5949907,4.5201809,-0.0050943,0.0084219,11.2479911,0.0031711,-0.0499332,-0.00483967,-0.7771203,0.53698367,-0.0007673,0.00743772
-8,CL,-0.5172669,5.0782139,0.2677683,-0.0043691,13.5793192,0.3218994,-0.040246,-0.00414255,-0.7807981,0.52454868,-0.0038533,0.00504866
-7,CL,-0.437031,4.6517983,0.021719,-0.0126616,11.275882,-0.0466526,-0.0341925,-0.0034326,-0.7860409,0.51462003,-0.0054801,0.00339665
-6,CL,-0.358811,4.5681136,-0.1926673,-0.0136562,10.6926519,0.0360732,-0.0258624,-0.00271236,-0.7925058,0.50688701,-0.0059159,0.00233533
-5,CL,-0.2797975,4.4615078,0.0248226,0.0361148,10.2966304,0.0212921,-0.0170693,-0.00198436,-0.7998498,0.50103888,-0.0054286,0.00171835
-4,CL,-0.2013402,4.4587613,-0.0967152,-0.0010301,10.4090151,0.0672569,-0.0119288,-0.0012511,-0.8077299,0.49676493,-0.0042861,0.00139935
-3,CL,-0.1227857,4.384134,-0.0401941,0.0032385,10.4641695,-0.0072002,-0.0058969,-0.00048239,-0.8136089,0.49516886,-0.0017193,0.00165558
-2,CL,-0.0443338,4.5443029,-0.1929059,0.0141564,10.436458,0.0088914,0.0015139,0.000244048,-0.8232082,0.492528,-0.0014545,0.00208287
-1,CL,0.033897,4.4793487,-0.0068107,0.0076413,10.2404223,0.0045121,0.0087709,0.000949776,-0.8320802,0.48694469,-0.0012576,0.00100373
0,CL,0.1120294,4.476369,-0.0076519,0.0066233,10.2108807,0.0098321,0.0164789,0.001647972,-0.8415245,0.48560614,-0.0011331,-0.0004519
1,CL,0.1902008,4.4762615,-0.0051552,0.0066862,10.2175616,0.0078636,0.0241295,0.002364171,-0.8385679,0.48465226,-0.0008863,-0.0019432
2,CL,0.2684093,4.4767568,-0.0047692,0.0067405,10.2726154,0.0076738,0.0301675,0.003067849,-0.8416106,0.48300423,-0.0006653,-0.0039489
3,CL,0.3465492,4.4795435,0.03651,0.0068704,10.4229224,0.0177947,0.0382233,0.00379227,-0.8434539,0.48816977,-0.0005469,-0.0060594
4,CL,0.4249296,4.4878739,-0.0068333,0.0072671,10.4571026,0.0089909,0.0459213,0.004536429,-0.8425507,0.49108045,-0.001104,-0.0021865
5,CL,0.5032992,4.492201,-0.0100968,0.0071288,10.5826902,0.0079654,0.0531276,0.005262496,-0.8433764,0.49704443,-0.0010794,-0.0016479
6,CL,0.58174,4.4922662,0.4626551,0.0638272,10.7250443,0.0075417,0.0592209,0.005985408,-0.8441623,0.50389146,-0.001025,-0.001182
7,CL,0.66014,4.5022283,-0.0109934,0.0067121,10.8667326,0.0095016,0.0664648,0.006703993,-0.8450129,0.51134234,-0.0009435,-0.0008431
8,CL,0.7387263,4.5048303,-0.0086171,0.0064255,11.0415041,0.0076462,0.0740009,0.007417078,-0.8460324,0.51911789,-0.0008373,-0.0006858
9,CL,0.8175514,4.5157223,-0.010007,0.0073098,11.2618363,0.0080356,0.0813086,0.008123489,-0.8473252,0.52693892,-0.0007092,-0.0007645
10,CL,0.8963745,4.5154903,-0.017351,0.0081812,11.6088178,0.0411124,0.0889173,0.008822055,-0.8489956,0.53452623,-0.0005616,-0.0011334
11,CL,0.97535,4.519425,-0.0132217,0.0066589,11.2842372,-0.0395544,0.0948652,0.009511603,-0.8511481,0.54160063,-0.0003971,-0.0018471
12,CL,1.0543947,4.5206425,-0.0199892,0.0067508,11.9251633,0.0080747,0.1018648,0.010190959,-0.8538868,0.54788293,-0.0002182,-0.0029599
13,CL,1.2584747,3.4933001,-0.0342899,-0.019292,10.8985777,-0.0756426,0.0918937,0.0091894,-0.5461072,0.5287974,-0.0328654,-0.0016178
14,CL,1.3115186,2.5314895,-0.0360396,-0.0322205,9.9714586,0.0040516,0.0624424,0.0062442,-0.1661339,0.5335795,0.0167736,0.0004712
15,CL,1.3486238,1.6132077,-0.041852,-0.0386407,9.1636233,0.0119319,0.0305127,0.0030513,0.1934937,0.5474501,0.0365882,0.0057182
16,CL,1.3651161,0.3882842,-0.0656662,-0.0411896,7.9413671,0.0042667,-0.0106534,-0.0010653,0.5149036,0.5590953,0.0212423,0.0301752
17,CL,1.3625104,-0.627271,-0.0497858,-0.0219206,6.8614973,0.0100116,-0.0458397,-0.004584,0.7334036,0.5694717,0.0711058,0.0231884
18,CL,1.3452949,-1.3164344,-0.0497999,-0.0557234,6.4697282,0.0425546,-0.0490068,-0.0049007,0.853648,0.5822859,-0.0210282,0.0311951
19,CL,1.3198645,-1.7731342,0.0226158,-0.0270087,5.9360071,-0.0112616,-0.129018,-0.0129018,0.8858111,0.598744,0.0189827,0.0443844
20,CL,1.2930202,-1.9254614,0.1187697,-0.00399,6.2973591,0.054108,-0.1373686,-0.0137369,0.8726021,0.6658752,-0.0392892,0.046292
21,CL,1.2550803,-1.9732301,-0.0956619,-0.0692214,6.4660049,-0.0313346,-0.0982305,-0.009823,0.8376352,0.6957424,-0.0190519,0.0300383
22,CL,1.2219155,-1.8593047,0.0000205,-0.0605355,6.8856138,-0.0270131,-0.0947214,-0.0094721,0.7780635,0.7379652,-0.0280914,0.033348
23,CL,1.1905853,-1.6925493,0.0132641,-0.0212438,7.876064,0.0073304,-0.0819064,-0.0081906,0.7158295,0.7783546,-0.0126884,0.0371613
24,CL,1.1634045,-1.4751743,0.00747,-0.0122428,8.6103232,0.0776396,-0.0784636,-0.0078464,0.6484475,0.8114551,-0.0222129,0.0325881
25,CL,1.139737,-1.2739783,-0.204591,0.0125419,9.2768244,0.0443875,-0.0165169,-0.0016517,0.5722531,0.8405429,-0.0356908,0.0335233
-12,CMl,0.0009746,0.0149516,-0.0165136,-0.522659,0.0119628,-0.0637343,0.0000283,4.91E-06,0.00119987,0.00098124,0.31272289,-0.0017297
-11,CMl,0.0009319,-0.002797,-0.0370744,-0.5230933,-0.0422148,-0.0529714,0.0000611,4.90E-06,0.00232361,0.00057351,0.31297661,-0.002213
-10,CMl,0.0008854,-0.0029134,-0.04227,-0.5211987,-0.0016119,-0.0463554,0.0000445,5.13E-06,0.00298872,0.00027441,0.31301236,-0.0025535
-9,CMl,0.0008303,-0.0042075,-0.0474522,-0.5182846,-0.0089604,-0.0362437,0.0000212,5.58E-06,0.00326124,7.01E-05,0.31286583,-0.0027649
-8,CMl,0.0007508,0.1015581,0.0524802,-0.5232961,0.2260424,-0.0087846,0.0002364,6.22E-06,0.00320726,-5.34E-05,0.31257273,-0.0028604
-7,CMl,0.0007093,-0.0028583,-0.057362,-0.517401,-0.015578,-0.02209,-0.0000168,7.00E-06,0.00289284,-0.0001099,0.31216876,-0.0028537
-6,CMl,0.0006718,-0.0024756,-0.0597819,-0.5147051,0.0180982,-0.0129268,0.0000976,7.90E-06,0.00238405,-0.0001132,0.31168962,-0.0027581
-5,CMl,0.0006116,-0.0035453,-0.0589913,-0.5130904,-0.0169603,-0.0019202,0.0000381,8.88E-06,0.00174694,-7.73E-05,0.31117101,-0.0025873
-4,CMl,0.0005237,0.0041142,-0.055706,-0.510452,0.0197786,0.0062554,0.0000015,9.91E-06,0.00104759,-1.60E-05,0.31064864,-0.0023546
-3,CMl,0.0004644,0.0071776,-0.0712634,-0.5068965,-0.0059376,0.0207549,0.0001907,1.07E-05,0.00065504,9.50E-05,0.30994791,-0.0020961
-2,CMl,0.0004063,0.0019775,-0.0589608,-0.5077093,-0.0019557,0.0335078,0.0000428,5.35E-06,-0.0034358,0.00010441,0.30992008,-0.0016379
-1,CMl,0.0003297,-0.0037011,-0.0836729,-0.5071539,-0.0025015,0.0421201,0.0001741,1.12E-05,-0.0012046,0.0001077,0.30943992,-0.0014165
0,CMl,0.0002675,-0.0035371,-0.0865435,-0.5084275,-0.0025046,0.0509215,0.0002311,1.40E-05,-0.0001445,8.81E-05,0.30799385,-0.0011793
1,CMl,0.0002162,-0.0035519,-0.0904934,-0.5096954,-0.0019417,0.0604967,0.0001795,2.00E-05,0.00279972,7.37E-05,0.30987263,-0.0008444
2,CMl,0.0001593,-0.0033678,-0.093603,-0.5110643,0.0007829,0.0697566,0.0000687,2.30E-05,0.00408735,-8.85E-05,0.31020545,-0.0005492
3,CMl,0.0000854,-0.0036507,-0.0935097,-0.5125456,-0.0022497,0.0786005,0.0001386,2.70E-05,0.00538192,-2.54E-05,0.3118454,-0.0002051
4,CMl,0.0000269,-0.0032945,-0.1021466,-0.5152338,-0.0016098,0.0888654,0.0001776,2.94E-05,0.00608445,-6.52E-05,0.31257579,0.00015101
5,CMl,-0.0000358,0.0221259,-0.1054067,-0.5172548,0.0236283,0.0981117,0.0001538,3.23E-05,0.00724769,-6.55E-05,0.31388118,0.00041667
6,CMl,-0.0002045,-0.0044653,0.4817579,-0.4476862,-0.0039788,0.1080995,0.0011412,3.41E-05,0.0080057,-6.21E-05,0.31506097,0.00069185
7,CMl,-0.0001431,-0.0661023,-0.1170578,-0.5360407,-0.0617838,0.1031623,0.0000715,3.45E-05,0.00821651,-5.70E-05,0.31599841,0.00098606
8,CMl,-0.0002226,-0.0039708,-0.1204749,-0.5233711,-0.0012088,0.1272734,0.0003234,3.33E-05,0.00773814,-5.19E-05,0.31657675,0.00130881
9,CMl,-0.0002975,-0.0038721,-0.12822,-0.5255528,-0.0011153,0.1366658,0.0001867,2.99E-05,0.00642865,-4.85E-05,0.31667924,0.0016696
10,CMl,-0.0003724,-0.004418,-0.1317542,-0.5279266,0.0169078,0.146379,0.0002239,2.42E-05,0.00414606,-4.87E-05,0.31618911,0.00207794
11,CMl,-0.0004546,-0.0066144,-0.1396127,-0.530238,-0.0046573,0.1568716,0.0001169,1.57E-05,0.0007484,-5.41E-05,0.31498961,0.00254333
12,CMl,-0.000539,-0.0043471,-0.140464,-0.5315537,0.1264685,0.1664985,0.0001043,4.13E-06,-0.0039063,-6.67E-05,0.31296399,0.00307527
13,CMl,-0.0004511,0.0166114,-0.085589,-0.4783022,0.0334436,0.189317,0.0009755,0.0000975,-0.005599,0.000306,0.2718307,-0.0002067
14,CMl,-0.0002784,0.019862,-0.0652318,-0.4335244,-0.1076355,0.2034217,0.0008769,0.0000877,-0.0052939,0.0003758,0.2163937,-0.0021414
15,CMl,0.0001158,0.0251451,-0.0510156,-0.3796134,0.0574314,0.2227124,0.0015975,0.0001598,-0.0078511,0.0026021,0.1846045,-0.0018736
16,CMl,0.0004423,0.0326508,-0.0317796,-0.2727084,0.0610228,0.2612324,0.0019471,0.0001947,-0.0012281,0.0004252,0.1523938,0.0010822
17,CMl,0.0008596,0.0248077,0.0065041,-0.1527888,0.1652766,0.2971552,0.0011076,0.0001108,-0.0012881,0.0111563,0.0377732,0.0036839
18,CMl,0.0012305,0.0161565,-0.0158781,-0.045795,-0.2889845,0.2984921,-0.0014842,-0.0001484,-0.0101547,0.0006122,-0.0777494,0.0026745
19,CMl,0.0013591,0.0148702,-0.028498,0.0027615,0.0377891,0.4084299,0.0000702,0.000007,0.0167198,0.0001999,-0.1144831,0.0000221
20,CMl,0.0015071,0.0041166,-0.0191292,0.0976756,-0.0505499,0.4002823,-0.0005116,-0.0000512,0.0046243,-0.0053362,-0.1746221,0.0004004
21,CMl,0.0015729,0.0039582,-0.1343319,0.1215674,0.0217939,0.4151577,0.0000248,0.0000025,-0.0113689,0.0003303,-0.2143766,-0.0044505
22,CMl,0.0016553,-0.0041954,-0.0423765,0.1503852,-0.0148826,0.4170645,-0.0002357,-0.0000236,0.0047685,-0.0009207,-0.2284865,-0.0037995
23,CMl,0.0015714,-0.0068133,-0.0714959,0.1529422,0.0113786,0.4171415,0.0005454,0.0000545,0.0048203,-0.000092,-0.2187672,-0.0054489
24,CMl,0.0015685,-0.0052072,-0.0824186,0.1475774,-0.0043501,0.4062778,-0.0003665,-0.0000366,0.0044702,-0.000696,-0.1896503,-0.0068784
25,CMl,0.0014752,-0.0035944,-0.0707537,0.1364043,-0.0041206,0.3983496,0.0010822,0.0001082,0.0050277,0.0006424,-0.2312022,-0.0070677
-12,CMm,0.2663465,-1.3898502,0.1248871,0.0070147,-18.537025,0.0165545,0.0013079,0.000377037,-0.0975083,-1.5834156,0.01218264,-0.0369659
-11,CMm,0.2387779,-1.4994341,0.0260508,-0.0005376,-19.685553,0.0831686,0.0051748,0.000187095,-0.1792262,-1.5839344,0.00676311,-0.0293255
-10,CMm,0.2116651,-1.5185152,0.0013482,-0.0052922,-18.408076,0.0064573,0.0018784,3.68E-05,-0.2325117,-1.5825965,0.00254544,-0.0226823
-9,CMm,0.1849677,-1.4851493,0.0444132,-0.0063887,-18.371132,-0.082946,0.0030876,-7.89E-05,-0.26101,-1.5796658,-0.0006009,-0.0169766
-8,CMm,0.1625603,-6.9705836,-4.7344305,0.0095306,-29.124156,-1.4511458,-0.0113901,-0.00016502,-0.2683659,-1.5754063,-0.0028066,-0.0121488
-7,CMm,0.132659,-0.7412987,-0.0702035,-0.0214915,-16.149148,-0.1209012,-0.0022998,-0.00022671,-0.2582245,-1.570082,-0.004202,-0.0081392
-6,CMm,0.1079725,-1.5979641,0.5350922,0.0396476,-17.587193,0.0601272,-0.0035489,-0.000269,-0.2342306,-1.5639569,-0.0049178,-0.0048881
-5,CMm,0.0811748,-1.7232206,0.0290269,-0.0010017,-18.360004,0.0348265,0.0040984,-0.00029696,-0.2000294,-1.5572949,-0.0050844,-0.002336
-4,CMm,0.0556238,-1.2172719,0.3073229,0.0261025,-16.923088,-0.194008,-0.0061915,-0.00031565,-0.1592658,-1.5503601,-0.0048326,-0.0004231
-3,CMm,0.0312225,-1.0971435,0.0991602,0.0087733,-17.530852,0.0401508,-0.0021399,-0.00036331,-0.1233307,-1.5420802,-0.0038847,0.00659017
-2,CMm,0.0062409,-1.5766886,0.5963168,-0.0228858,-17.596182,-0.0044257,-0.0030996,-0.00040438,-0.099799,-1.5364662,-0.0042773,0.00270116
-1,CMm,-0.0184,-1.4129095,0.0227556,-0.0043259,-17.168734,0.0047727,-0.0033711,-0.00040847,-0.0441854,-1.5320103,-0.0046346,-0.0004113
0,CMm,-0.0430708,-1.421762,0.0104143,-0.0026941,-17.137269,-0.0132679,-0.0051548,-0.00037114,0.01349927,-1.5286564,-0.005278,-0.0034192
1,CMm,-0.0680803,-1.4287182,-0.0027567,-0.0021908,-17.140062,-0.0043199,-0.0057028,-0.00047182,-0.0163753,-1.5235288,-0.0036627,-0.0062513
2,CMm,-0.0931917,-1.4307333,-0.0062446,-0.0032075,-17.225726,-0.0052244,-0.0045406,-0.00050293,-0.0039301,-1.5194942,-0.0013351,-0.0070329
3,CMm,-0.1183277,-1.4396603,-0.1158002,-0.0037013,-17.542697,-0.0356353,-0.0059669,-0.00059948,0.00838471,-1.5201666,0.00044214,-0.0077062
4,CMm,-0.1441302,-1.4717513,0.0016515,-0.0042667,-17.455791,-0.0098935,-0.0072258,-0.00059284,0.02418357,-1.5233444,0.00318149,-0.0098194
5,CMm,-0.1697989,-1.5187981,0.0161698,-0.0023138,-17.60965,-0.0015574,-0.0083794,-0.00064858,0.03383054,-1.5291338,0.00528837,-0.01164
6,CMm,-0.1962906,-1.4779827,1.3818706,0.1656644,-17.67447,0.0011301,-0.0029016,-0.00070652,0.03985664,-1.5360212,0.00680209,-0.0131635
7,CMm,-0.2228743,-1.6101241,-0.0184579,-0.0052696,-17.972863,-0.0037974,-0.0067313,-0.00076489,0.04171143,-1.5436027,0.00745577,-0.0142876
8,CMm,-0.2495351,-1.5174077,-0.0007989,-0.0232796,-17.911376,-0.0258645,-0.0080358,-0.00082194,0.03884447,-1.551474,0.00698256,-0.0149098
9,CMm,-0.2765533,-1.5360458,0.0309272,-0.0046399,-18.110867,-0.0084455,-0.0091472,-0.00087592,0.03070533,-1.5592311,0.00511558,-0.0149279
10,CMm,-0.3037345,-1.5416313,0.0223229,-0.0011128,-19.068029,-0.0023588,-0.0123723,-0.00092505,0.01674356,-1.5664699,0.00158798,-0.0142395
11,CMm,-0.331267,-1.5966949,0.0065365,-0.0038652,-18.479892,-0.0100448,-0.0078328,-0.00096758,-0.0035913,-1.5727864,-0.0038671,-0.0127422
12,CMm,-0.3592501,-1.5653216,-0.0071872,-0.0212371,-19.302216,-0.0289525,-0.0100628,-0.00100175,-0.0308496,-1.5777764,-0.0115165,-0.0103338
13,CMm,-0.4351,-1.233411,0.0322053,0.0312793,-17.7400696,-0.0164479,-0.0112799,-0.001128,0.0975455,-1.5011047,0.1062007,-0.0521239
14,CMm,-0.4564171,-0.8471261,0.301423,0.0431046,-16.7753869,-0.0222603,0.0069549,0.0006955,-0.0365759,-1.4872844,0.1152749,-0.0335534
15,CMm,-0.4694999,-0.3882841,0.0402385,0.0388149,-16.8225905,-0.0045941,0.0249698,0.002497,-0.2045959,-1.5573372,0.1114267,-0.0539793
16,CMm,-0.4753749,0.1456451,0.0995954,0.13129,-15.6759423,0.047932,0.0545029,0.0054503,-0.3367713,-1.4901966,-0.0130085,-0.0218523
17,CMm,-0.4693429,0.6701947,-0.0700573,0.0404699,-13.2100362,0.0550022,0.0798769,0.0079877,-0.3992161,-1.302566,-0.0779002,-0.0367785
18,CMm,-0.4528197,1.1406717,0.0356875,0.0387607,-14.1742919,0.1264311,0.0670768,0.0067077,-0.4466375,-1.4292202,0.0261175,-0.0416033
19,CMm,-0.4350022,1.4441368,-0.1294406,-0.0212289,-13.8196547,0.1283038,0.1355283,0.0135528,-0.5611734,-1.4084962,-0.0479951,-0.0383416
20,CMm,-0.4111022,1.4638946,-0.0240265,0.0114612,-15.0265205,-0.0018666,0.1534088,0.0153409,-0.435,-1.5373012,-0.0263478,-0.0198749
21,CMm,-0.3810281,1.6376337,-0.0485993,0.0678396,-13.0698654,0.0384815,0.1236023,0.0123602,-0.4472635,-1.3694637,-0.0457527,-0.0230337
22,CMm,-0.3552491,1.4505014,0.1265725,0.0470657,-14.6464303,-0.0418237,0.1266829,0.0126683,-0.4053056,-1.4366881,-0.0657968,-0.0042976
23,CMm,-0.3312545,1.4666823,0.2145484,0.0410745,-17.3257398,0.0372314,0.1089376,0.0108938,-0.377296,-1.3634888,-0.0902056,0.0096748
24,CMm,-0.3092409,1.385069,0.0035858,0.1058601,-13.2979756,0.0594204,0.1267296,0.012673,-0.3354862,-1.3494884,0.0047398,-0.0020182
25,CMm,-0.291261,1.3017298,0.1026884,0.0311216,-14.5284786,-0.2589752,0.0866438,0.0086644,-0.2698681,-1.36463,-0.0762774,-0.0134838
-12,CMn,-0.0009228,-0.0614475,0.0190587,0.132387,-0.0593364,-0.1065439,-0.0001774,-9.10E-06,-0.0065766,-0.00455,-0.0243621,0.08060344
-11,CMn,-0.0007815,0.0118922,0.0884082,0.1272372,-0.0330465,-0.0909154,0.000013,-8.13E-06,-0.0047412,-0.0028018,-0.0213652,0.08224639
-10,CMn,-0.0006227,0.0077768,0.0785608,0.1167307,0.0059256,-0.0943336,-0.0000256,-7.17E-06,-0.0033038,-0.0014783,-0.0187721,0.0834097
-9,CMn,-0.0004984,0.0053305,0.0781898,0.1034325,-0.0497727,-0.0997233,-0.000042,-6.25E-06,-0.0022145,-0.0005303,-0.0165413,0.08414187
-8,CMn,-0.000372,0.0127061,0.0961408,0.0872174,0.008082,-0.0923184,-0.0001081,-5.37E-06,-0.0014233,9.15E-05,-0.0146314,0.08449142
-7,CMn,-0.0002824,-0.0703881,0.0517002,0.0721811,-0.0031844,-0.1029893,-0.0000662,-4.57E-06,-0.0008802,0.00043626,-0.013001,0.08450686
-6,CMn,-0.000196,0.0003898,0.0535811,0.0639576,0.0342099,-0.0891424,0.00008,-3.85E-06,-0.0005351,0.00055337,-0.0116087,0.08423668
-5,CMn,-0.0001312,0.0080784,0.0780875,0.049299,0.0350059,-0.0857631,-0.0002287,-3.25E-06,-0.0003381,0.00049207,-0.0104131,0.08372941
-4,CMn,-0.0000972,0.0019247,0.0581093,0.0394565,0.0017352,-0.0863782,-0.0000604,-2.77E-06,-0.0002391,0.00030162,-0.0093727,0.08303354
-3,CMn,-0.000097,0.0052884,0.0622352,0.0278879,-0.0088238,-0.0881874,-0.0000219,-3.43E-06,-0.0003573,-2.09E-05,-0.0086434,0.08240859
-2,CMn,-0.0001198,0.0006032,0.0633952,0.0147816,-0.0071569,-0.0855274,0.0000184,-4.45E-06,-0.0012089,-0.0002133,-0.0075402,0.08140457
-1,CMn,-0.0001736,-0.0031693,0.0523947,0.0025546,-0.0090657,-0.084633,0.0000652,-2.43E-06,7.42E-05,-0.0002977,-0.0064869,0.0804748
0,CMn,-0.0002385,-0.0046046,0.0491064,-0.0093547,-0.0114658,-0.0840334,0.0000592,-9.40E-07,0.00082307,-0.000352,-0.0055231,0.07956245
1,CMn,-0.0003223,-0.0063623,0.0442336,-0.0212261,-0.0136225,-0.0831524,0.0000302,-9.43E-07,0.00232043,-0.0004168,-0.004643,0.07858599
2,CMn,-0.000429,-0.0073411,0.0406809,-0.0328523,-0.0148461,-0.0814679,-0.0002419,-1.07E-06,0.00272521,-0.0005867,-0.0038117,0.07740553
3,CMn,-0.0005747,-0.0083293,0.0400682,-0.0443272,-0.0157601,-0.080662,-0.0000739,-7.57E-06,0.00402578,-0.000222,-0.0029474,0.07616019
4,CMn,-0.0007279,-0.0113687,0.035993,-0.0560449,-0.0193416,-0.0796292,0.0000132,-1.15E-05,0.00438482,-0.0002269,-0.0022379,0.07536172
5,CMn,-0.000889,-0.0120349,0.0336029,-0.0672178,-0.0157886,-0.0779674,-0.0000751,-1.49E-05,0.00520428,-0.0001747,-0.0015538,0.07423431
6,CMn,-0.0010974,-0.0123663,0.1715529,-0.0620122,-0.0162472,-0.0778373,0.0001817,-1.61E-05,0.00584552,-0.0001402,-0.0009081,0.0730494
7,CMn,-0.0013043,-0.003927,0.0367864,-0.0886388,-0.0105066,-0.0782354,-0.0001497,-1.43E-05,0.00623786,-0.0001305,-0.000294,0.07180528
8,CMn,-0.0015397,-0.0130697,0.0313366,-0.101383,-0.0211916,-0.0780688,-0.0001799,-8.47E-06,0.00631062,-0.000153,0.00029505,0.07050027
9,CMn,-0.0017689,-0.0154488,0.0354792,-0.1133672,-0.022839,-0.0803638,-0.0001776,2.18E-06,0.00599312,-0.0002151,0.00086585,0.06913267
10,CMn,-0.0020329,-0.0113244,0.030441,-0.125368,-0.0150977,-0.0832968,-0.0002357,1.86E-05,0.00521467,-0.0003241,0.0014251,0.06770078
11,CMn,-0.0023559,-0.0164453,0.0367062,-0.138214,-0.0394085,-0.0831993,0.0008604,4.16E-05,0.00390458,-0.0004872,0.00197951,0.0662029
12,CMn,-0.0026847,-0.0170441,0.0357679,-0.1512666,-0.0273448,-0.0846492,0.0006856,7.20E-05,0.00199218,-0.0007119,0.00253578,0.06463733
13,CMn,-0.0035472,-0.0055072,0.0734695,-0.1676682,-0.0413139,-0.0965801,-0.0002275,-0.0000227,-0.0003595,-0.0013409,-0.0038367,0.0520227
14,CMn,-0.0038559,-0.0179246,0.0305936,-0.1721954,-0.0236936,-0.0942281,0.0000306,0.0000031,0.0006317,-0.0002588,-0.0052665,0.056381
15,CMn,-0.0040146,-0.01285,-0.0039992,-0.1989218,-0.0206486,-0.0735979,0.0003556,0.0000356,-0.0099533,-0.0023899,-0.0086318,0.0464099
16,CMn,-0.0042397,0.1065908,0.3405238,-0.0646724,0.1117615,-0.1468806,0.0004934,0.0000493,0.0406746,-0.004351,-0.0295612,0.0667001
17,CMn,-0.0036534,0.052837,0.4777687,-0.0119716,0.9462839,-0.0902839,-0.0005908,-0.0000591,-0.0224298,0.0495054,-0.0384313,0.0778935
18,CMn,-0.0035163,-0.0088735,0.4671272,0.1230256,-1.1867584,-0.2708359,-0.002805,-0.0002805,0.0157513,0.0051916,-0.0797761,0.1033092
19,CMn,-0.0037597,0.0108187,0.0117511,-0.1145292,0.1037123,-0.0348885,0.0105556,0.0010556,-0.0146448,-0.0001613,-0.09959,0.0391702
20,CMn,-0.0035231,0.0224075,0.0465849,-0.0169961,0.0671784,-0.0192938,-0.0003404,-0.000034,-0.004705,0.0052975,-0.1116859,0.0361326
21,CMn,-0.003328,0.0105448,0.0120581,0.0010453,0.0523656,-0.0138791,0.0001773,0.0000177,-0.017644,0.0004216,-0.130784,0.0388851
22,CMn,-0.0032461,0.0036568,0.0497944,0.030188,0.0159018,-0.0087836,-0.0000212,-0.0000021,-0.0041623,0.0000733,-0.1427536,0.0362194
23,CMn,-0.0031769,0.0008775,0.0668729,0.044088,0.0769794,0.0007036,0.0003423,0.0000342,-0.0056109,0.0003003,-0.1479786,0.0360182
24,CMn,-0.0031724,0.0020554,0.0581548,0.0557639,-0.0523552,-0.006664,-0.0004089,-0.0000409,-0.0058357,0.000536,-0.159485,0.0304302
