Alpha,Coef,Aero,Alpha,Beta,p,q,r,Mach,U,ConGrp_1,ConGrp_2,ConGrp_3,ConGrp_4
25,CMn,-0.0031221,0.0025634,0.0746892,0.0711637,0.0556564,0.0022707,0.0000249,0.0000025,-0.0081033,0.0064363,-0.1592475,0.0323614
-12,CMx,-0.0009746,-0.0149516,0.0165136,0.522659,-0.0119628,0.0637343,-0.0000283,-0.0000028,-0.0022977,-0.0016213,-0.3121404,0.0010196
-11,CMx,-0.0009319,0.002797,0.0370744,0.5230933,0.0422148,0.0529714,-0.0000611,-0.0000061,-0.0005002,-0.0000652,-0.3139088,0.003011
-10,CMx,-0.0008854,0.0029134,0.04227,0.5211987,0.0016119,0.0463554,-0.0000445,-0.0000045,-0.0003958,0.0000497,-0.3122806,0.0029613
-9,CMx,-0.0008303,0.0042075,0.0474522,0.5182846,0.0089604,0.0362437,-0.0000212,-0.0000021,0.0004671,0.0000327,-0.3115793,0.0028912
-8,CMx,-0.0007508,-0.1015581,-0.0524802,0.5232961,-0.2260424,0.0087846,-0.0002364,-0.0000236,-0.0187875,-0.0000406,-0.316471,0.0023803
-7,CMx,-0.0007093,0.0028583,0.057362,0.517401,0.015578,0.02209,0.0000168,0.0000017,0.0015068,0.001226,-0.3111512,0.0026739
-6,CMx,-0.0006718,0.0024756,0.0597819,0.5147051,-0.0180982,0.0129268,-0.0000976,-0.0000098,-0.0019625,-0.0012665,-0.3110733,0.0024949
-5,CMx,-0.0006116,0.0035453,0.0589913,0.5130904,0.0169603,0.0019202,-0.0000381,-0.0000038,0.0015418,0.0000849,-0.3106345,0.0024089
-4,CMx,-0.0005237,-0.0041142,0.055706,0.510452,-0.0197786,-0.0062554,-0.0000015,-0.0000002,0.0020843,-0.0003886,-0.3102986,0.003282
-3,CMx,-0.0004644,-0.0071776,0.0712634,0.5068965,0.0059376,-0.0207549,-0.0001907,-0.0000191,-0.0005765,0.0001605,-0.3095694,0.001569
-2,CMx,-0.0004063,-0.0019775,0.0589608,0.5077093,0.0019557,-0.0335078,-0.0000428,-0.0000043,-0.00004,-0.0005007,-0.3099752,0.0016322
-1,CMx,-0.0003297,0.0037011,0.0836729,0.5071539,0.0025015,-0.0421201,-0.0001741,-0.0000174,0.0000783,0.0000615,-0.3093373,0.0013529
0,CMx,-0.0002675,0.0035371,0.0865435,0.5084275,0.0025046,-0.0509215,-0.0002311,-0.0000231,0.0001537,0.0000687,-0.3095688,0.0012104
1,CMx,-0.0002162,0.0035519,0.0904934,0.5096954,0.0019417,-0.0604967,-0.0001795,-0.0000179,0.0001225,0.0000543,-0.3097515,0.0009544
2,CMx,-0.0001593,0.0033678,0.093603,0.5110643,-0.0007829,-0.0697566,-0.0000687,-0.0000069,0.0000221,0.0000284,-0.3099119,0.0004227
3,CMx,-0.0000854,0.0036507,0.0935097,0.5125456,0.0022497,-0.0786005,-0.0001386,-0.0000139,-0.0000388,0.0000211,-0.3096221,0.0001253
4,CMx,-0.0000269,0.0032945,0.1021466,0.5152338,0.0016098,-0.0888654,-0.0001776,-0.0000178,0.0000336,0.0000219,-0.3102684,-0.0002299
5,CMx,0.0000358,-0.0221259,0.1054067,0.5172548,-0.0236283,-0.0981117,-0.0001538,-0.0000154,-0.0001799,0.0000414,-0.3138493,-0.0019314
6,CMx,0.0002045,0.0044653,-0.4817579,0.4476862,0.0039788,-0.1080995,-0.0011412,-0.0001141,-0.0542477,0.0000559,-0.3097149,0.0014143
7,CMx,0.0001431,0.0661023,0.1170578,0.5360407,0.0617838,-0.1031623,-0.0000715,-0.0000072,0.0055485,0.0001891,-0.3152253,-0.0011753
8,CMx,0.0002226,0.0039708,0.1204749,0.5233711,0.0012088,-0.1272734,-0.0003234,-0.0000323,-0.0006104,0.0000131,-0.3331746,-0.0016583
9,CMx,0.0002975,0.0038721,0.12822,0.5255528,0.0011153,-0.1366658,-0.0001867,-0.0000187,-0.0003645,0.0000145,-0.3071546,-0.0016943
10,CMx,0.0003724,0.004418,0.1317542,0.5279266,-0.0169078,-0.146379,-0.0002239,-0.0000224,-0.000156,0.0000231,-0.3213578,-0.0024412
11,CMx,0.0004546,0.0066144,0.1396127,0.530238,0.0046573,-0.1568716,-0.0001169,-0.0000117,-0.0006058,0.0001153,-0.3073823,-0.0025618
12,CMx,0.000539,0.0043471,0.140464,0.5315537,-0.1264685,-0.1664985,-0.0001043,-0.0000104,-0.0009514,0.0000384,-0.3158234,-0.0028428
13,CMx,0.0004511,-0.0166114,0.085589,0.4783022,-0.0334436,-0.189317,-0.0009755,-0.0000975,0.005599,-0.000306,-0.2718307,0.0002067
14,CMx,0.0002784,-0.019862,0.0652318,0.4335244,0.1076355,-0.2034217,-0.0008769,-0.0000877,0.0052939,-0.0003758,-0.2163937,0.0021414
15,CMx,-0.0001158,-0.0251451,0.0510156,0.3796134,-0.0574314,-0.2227124,-0.0015975,-0.0001598,0.0078511,-0.0026021,-0.1846045,0.0018736
16,CMx,-0.0004423,-0.0326508,0.0317796,0.2727084,-0.0610228,-0.2612324,-0.0019471,-0.0001947,0.0012281,-0.0004252,-0.1523938,-0.0010822
17,CMx,-0.0008596,-0.0248077,-0.0065041,0.1527888,-0.1652766,-0.2971552,-0.0011076,-0.0001108,0.0012881,-0.0111563,-0.0377732,-0.0036839
18,CMx,-0.0012305,-0.0161565,0.0158781,0.045795,0.2889845,-0.2984921,0.0014842,0.0001484,0.0101547,-0.0006122,0.0777494,-0.0026745
19,CMx,-0.0013591,-0.0148702,0.028498,-0.0027615,-0.0377891,-0.4084299,-0.0000702,-0.000007,-0.0167198,-0.0001999,0.1144831,-0.0000221
20,CMx,-0.0015071,-0.0041166,0.0191292,-0.0976756,0.0505499,-0.4002823,0.0005116,0.0000512,-0.0046243,0.0053362,0.1746221,-0.0004004
21,CMx,-0.0015729,-0.0039582,0.1343319,-0.1215674,-0.0217939,-0.4151577,-0.0000248,-0.0000025,0.0113689,-0.0003303,0.2143766,0.0044505
22,CMx,-0.0016553,0.0041954,0.0423765,-0.1503852,0.0148826,-0.4170645,0.0002357,0.0000236,-0.0047685,0.0009207,0.2284865,0.0037995
23,CMx,-0.0015714,0.0068133,0.0714959,-0.1529422,-0.0113786,-0.4171415,-0.0005454,-0.0000545,-0.0048203,0.000092,0.2187672,0.0054489
24,CMx,-0.0015685,0.0052072,0.0824186,-0.1475774,0.0043501,-0.4062778,0.0003665,0.0000366,-0.0044702,0.000696,0.1896503,0.0068784
25,CMx,-0.0014752,0.0035944,0.0707537,-0.1364043,0.0041206,-0.3983496,-0.0010822,-0.0001082,-0.0050277,-0.0006424,0.2312022,0.0070677
-12,CMy,0.2663465,-1.3898502,0.1248871,0.0070147,-18.537025,0.0165545,0.0013079,0.0001308,-0.1186131,-1.5803417,0.0161265,-0.0354421
-11,CMy,0.2387779,-1.4994341,0.0260508,-0.0005376,-19.685553,0.0831686,0.0051748,0.0005175,-0.1247661,-1.5960607,0.0005969,-0.0340002
-10,CMy,0.2116651,-1.5185152,0.0013482,-0.0052922,-18.408076,0.0064573,0.0018784,0.0001878,-0.1278896,-1.5903737,0.0019137,-0.0242117
-9,CMy,0.1849677,-1.4851493,0.0444132,-0.0063887,-18.371132,-0.082946,0.0030876,0.0003088,-0.1328208,-1.5808395,0.0024899,-0.0161821
-8,CMy,0.1625603,-6.9705836,-4.7344305,0.0095306,-29.124156,-1.4511458,-0.0113901,-0.001139,-0.8846302,-1.542546,-0.0070404,-0.0106048
-7,CMy,0.132659,-0.7412987,-0.0702035,-0.0214915,-16.149148,-0.1209012,-0.0022998,-0.00023,-0.1655997,-1.5458146,-0.0007767,0.0068991
-6,CMy,0.1079725,-1.5979641,0.5350922,0.0396476,-17.587193,0.0601272,-0.0035489,-0.0003549,-0.0909905,-1.5756502,0.0000098,0.0007382
-5,CMy,0.0811748,-1.7232206,0.0290269,-0.0010017,-18.360004,0.0348265,0.0040984,0.0004098,-0.0484144,-1.5820145,-0.0058454,-0.0247102
-4,CMy,0.0556238,-1.2172719,0.3073229,0.0261025,-16.923088,-0.194008,-0.0061915,-0.0006192,-0.1219148,-1.5561466,-0.0082842,-0.0002124
-3,CMy,0.0312225,-1.0971435,0.0991602,0.0087733,-17.530852,0.0401508,-0.0021399,-0.000214,-0.0720452,-1.5513452,0.0007749,0.001082
-2,CMy,0.0062409,-1.5766886,0.5963168,-0.0228858,-17.596182,-0.0044257,-0.0030996,-0.00031,-0.1039124,-1.5538849,-0.0164238,-0.0006423
-1,CMy,-0.0184,-1.4129095,0.0227556,-0.0043259,-17.168734,0.0047727,-0.0033711,-0.0003371,-0.0486883,-1.5202956,0.0010473,0.002217
0,CMy,-0.0430708,-1.421762,0.0104143,-0.0026941,-17.137269,-0.0132679,-0.0051548,-0.0005155,-0.0371567,-1.5148112,0.0008139,0.0040349
1,CMy,-0.0680803,-1.4287182,-0.0027567,-0.0021908,-17.140062,-0.0043199,-0.0057028,-0.0005703,-0.0280516,-1.5112703,0.0011132,0.0081694
2,CMy,-0.0931917,-1.4307333,-0.0062446,-0.0032075,-17.225726,-0.0052244,-0.0045406,-0.0004541,-0.0231045,-1.5091141,0.001593,0.0023995
3,CMy,-0.1183277,-1.4396603,-0.1158002,-0.0037013,-17.542697,-0.0356353,-0.0059669,-0.0005967,-0.0207918,-1.5154461,-0.0121064,-0.0018078
4,CMy,-0.1441302,-1.4717513,0.0016515,-0.0042667,-17.455791,-0.0098935,-0.0072258,-0.0007226,0.0370255,-1.5283586,0.0005943,-0.0031586
5,CMy,-0.1697989,-1.5187981,0.0161698,-0.0023138,-17.60965,-0.0015574,-0.0083794,-0.0008379,-0.0175567,-1.5342161,-0.0044119,-0.0867378
6,CMy,-0.1962906,-1.4779827,1.3818706,0.1656644,-17.67447,0.0011301,-0.0029016,-0.0002902,0.2434046,-1.5374243,0.0017728,0.0014828
7,CMy,-0.2228743,-1.6101241,-0.0184579,-0.0052696,-17.972863,-0.0037974,-0.0067313,-0.0006731,-0.0031654,-1.5459932,0.0096055,-0.0056211
8,CMy,-0.2495351,-1.5174077,-0.0007989,-0.0232796,-17.911376,-0.0258645,-0.0080358,-0.0008036,-0.0054268,-1.555024,0.0277117,-0.0051682
9,CMy,-0.2765533,-1.5360458,0.0309272,-0.0046399,-18.110867,-0.0084455,-0.0091472,-0.0009147,0.0014648,-1.558297,0.0011144,-0.0044301
10,CMy,-0.3037345,-1.5416313,0.0223229,-0.0011128,-19.068029,-0.0023588,-0.0123723,-0.0012372,-0.0152063,-1.5628336,-0.0031432,-0.006422
11,CMy,-0.331267,-1.5966949,0.0065365,-0.0038652,-18.479892,-0.0100448,-0.0078328,-0.0007833,0.0092042,-1.5645558,0.0039585,-0.0075387
12,CMy,-0.3592501,-1.5653216,-0.0071872,-0.0212371,-19.302216,-0.0289525,-0.0100628,-0.0010063,-0.0093267,-1.5842721,-0.018211,-0.0248429
13,CMy,-0.4351,-1.233411,0.0322053,0.0312793,-17.7400696,-0.0164479,-0.0112799,-0.001128,0.0975455,-1.5011047,0.1062007,-0.0521239
14,CMy,-0.4564171,-0.8471261,0.301423,0.0431046,-16.7753869,-0.0222603,0.0069549,0.0006955,-0.0365759,-1.4872844,0.1152749,-0.0335534
15,CMy,-0.4694999,-0.3882841,0.0402385,0.0388149,-16.8225905,-0.0045941,0.0249698,0.002497,-0.2045959,-1.5573372,0.1114267,-0.0539793
16,CMy,-0.4753749,0.1456451,0.0995954,0.13129,-15.6759423,0.047932,0.0545029,0.0054503,-0.3367713,-1.4901966,-0.0130085,-0.0218523
17,CMy,-0.4693429,0.6701947,-0.0700573,0.0404699,-13.2100362,0.0550022,0.0798769,0.0079877,-0.3992161,-1.302566,-0.0779002,-0.0367785
18,CMy,-0.4528197,1.1406717,0.0356875,0.0387607,-14.1742919,0.1264311,0.0670768,0.0067077,-0.4466375,-1.4292202,0.0261175,-0.0416033
19,CMy,-0.4350022,1.4441368,-0.1294406,-0.0212289,-13.8196547,0.1283038,0.1355283,0.0135528,-0.5611734,-1.4084962,-0.0479951,-0.0383416
20,CMy,-0.4111022,1.4638946,-0.0240265,0.0114612,-15.0265205,-0.0018666,0.1534088,0.0153409,-0.435,-1.5373012,-0.0263478,-0.0198749
21,CMy,-0.3810281,1.6376337,-0.0485993,0.0678396,-13.0698654,0.0384815,0.1236023,0.0123602,-0.4472635,-1.3694637,-0.0457527,-0.0230337
22,CMy,-0.3552491,1.4505014,0.1265725,0.0470657,-14.6464303,-0.0418237,0.1266829,0.0126683,-0.4053056,-1.4366881,-0.0657968,-0.0042976
23,CMy,-0.3312545,1.4666823,0.2145484,0.0410745,-17.3257398,0.0372314,0.1089376,0.0108938,-0.377296,-1.3634888,-0.0902056,0.0096748
24,CMy,-0.3092409,1.385069,0.0035858,0.1058601,-13.2979756,0.0594204,0.1267296,0.012673,-0.3354862,-1.3494884,0.0047398,-0.0020182
25,CMy,-0.291261,1.3017298,0.1026884,0.0311216,-14.5284786,-0.2589752,0.0866438,0.0086644,-0.2698681,-1.36463,-0.0762774,-0.0134838
-12,CMz,0.0009228,0.0614475,-0.0190587,-0.132387,0.0593364,0.1065439,0.0001774,0.0000177,0.0093386,0.0056833,0.0268324,-0.0780694
-11,CMz,0.0007815,-0.0118922,-0.0884082,-0.1272372,0.0330465,0.0909154,-0.000013,-0.0000013,0.0018051,0.0018245,0.0187769,-0.0853695
-10,CMz,0.0006227,-0.0077768,-0.0785608,-0.1167307,-0.0059256,0.0943336,0.0000256,0.0000026,0.0014637,0.0005227,0.0174962,-0.0845949
-9,CMz,0.0004984,-0.0053305,-0.0781898,-0.1034325,0.0497727,0.0997233,0.000042,0.0000042,0.0052023,0.0003479,0.0164338,-0.0842017
-8,CMz,0.000372,-0.0127061,-0.0961408,-0.0872174,-0.008082,0.0923184,0.0001081,0.0000108,-0.0036206,0.0006085,0.0148488,-0.0839243
-7,CMz,0.0002824,0.0703881,-0.0517002,-0.0721811,0.0031844,0.1029893,0.0000662,0.0000066,0.0056629,0.0011891,0.0138369,-0.0823597
-6,CMz,0.000196,-0.0003898,-0.0535811,-0.0639576,-0.0342099,0.0891424,-0.00008,-0.000008,-0.0032127,-0.0036726,0.0120685,-0.082284
-5,CMz,0.0001312,-0.0080784,-0.0780875,-0.049299,-0.0350059,0.0857631,0.0002287,0.0000229,0.0049008,0.0007228,0.010641,-0.087554
-4,CMz,0.0000972,-0.0019247,-0.0581093,-0.0394565,-0.0017352,0.0863782,0.0000604,0.000006,0.0006356,0.0003068,0.0098241,-0.0824906
-3,CMz,0.000097,-0.0052884,-0.0622352,-0.0278879,0.0088238,0.0881874,0.0000219,0.0000022,-0.0001544,0.0009566,0.0088142,-0.0814262
-2,CMz,0.0001198,-0.0006032,-0.0633952,-0.0147816,0.0071569,0.0855274,-0.0000184,-0.0000018,-0.0004008,-0.0000127,0.0073968,-0.081181
-1,CMz,0.0001736,0.0031693,-0.0523947,-0.0025546,0.0090657,0.084633,-0.0000652,-0.0000065,-0.0004883,0.000436,0.0064952,-0.0802901
0,CMz,0.0002385,0.0046046,-0.0491064,0.0093547,0.0114658,0.0840334,-0.0000592,-0.0000059,-0.0007383,0.0004217,0.0055348,-0.0794939
1,CMz,0.0003223,0.0063623,-0.0442336,0.0212261,0.0136225,0.0831524,-0.0000302,-0.000003,-0.0010668,0.0004798,0.0046087,-0.078691
2,CMz,0.000429,0.0073411,-0.0406809,0.0328523,0.0148461,0.0814679,0.0002419,0.0000242,-0.0012943,0.0004626,0.0037292,-0.0780314
3,CMz,0.0005747,0.0083293,-0.0400682,0.0443272,0.0157601,0.080662,0.0000739,0.0000074,-0.0015235,0.0004469,0.0030376,-0.0768615
4,CMz,0.0007279,0.0113687,-0.035993,0.0560449,0.0193416,0.0796292,-0.0000132,-0.0000013,-0.0026388,0.0004433,0.0021871,-0.0761695
5,CMz,0.000889,0.0120349,-0.0336029,0.0672178,0.0157886,0.0779674,0.0000751,0.0000075,-0.0020907,0.0003425,0.0016006,-0.068457
6,CMz,0.0010974,0.0123663,-0.1715529,0.0620122,0.0162472,0.0778373,-0.0001817,-0.0000182,-0.0213698,-0.0003153,0.0008077,-0.0753155
7,CMz,0.0013043,0.003927,-0.0367864,0.0886388,0.0105066,0.0782354,0.0001497,0.000015,-0.0030157,-0.0001401,0.0003044,-0.0730097
8,CMz,0.0015397,0.0130697,-0.0313366,0.101383,0.0211916,0.0780688,0.0001799,0.000018,-0.0033238,0.0000294,-0.0002202,-0.0708776
9,CMz,0.0017689,0.0154488,-0.0354792,0.1133672,0.022839,0.0803638,0.0001776,0.0000178,-0.0030423,0.0003867,-0.0012988,-0.0694337
10,CMz,0.0020329,0.0113244,-0.030441,0.125368,0.0150977,0.0832968,0.0002357,0.0000236,-0.0052842,0.0003895,-0.0014225,-0.0677991
11,CMz,0.0023559,0.0164453,-0.0367062,0.138214,0.0394085,0.0831993,-0.0008604,-0.000086,-0.0030593,0.0009328,-0.0011235,-0.0655157
12,CMz,0.0026847,0.0170441,-0.0357679,0.1512666,0.0273448,0.0846492,-0.0006856,-0.0000686,-0.0037505,0.0003844,-0.0030292,-0.0647214
13,CMz,0.0035472,0.0055072,-0.0734695,0.1676682,0.0413139,0.0965801,0.0002275,0.0000227,0.0003595,0.0013409,0.0038367,-0.0520227
14,CMz,0.0038559,0.0179246,-0.0305936,0.1721954,0.0236936,0.0942281,-0.0000306,-0.0000031,-0.0006317,0.0002588,0.0052665,-0.056381
15,CMz,0.0040146,0.01285,0.0039992,0.1989218,0.0206486,0.0735979,-0.0003556,-0.0000356,0.0099533,0.0023899,0.0086318,-0.0464099
16,CMz,0.0042397,-0.1065908,-0.3405238,0.0646724,-0.1117615,0.1468806,-0.0004934,-0.0000493,-0.0406746,0.004351,0.0295612,-0.0667001
17,CMz,0.0036534,-0.052837,-0.4777687,0.0119716,-0.9462839,0.0902839,0.0005908,0.0000591,0.0224298,-0.0495054,0.0384313,-0.0778935
18,CMz,0.0035163,0.0088735,-0.4671272,-0.1230256,1.1867584,0.2708359,0.002805,0.0002805,-0.0157513,-0.0051916,0.0797761,-0.1033092
19,CMz,0.0037597,-0.0108187,-0.0117511,0.1145292,-0.1037123,0.0348885,-0.0105556,-0.0010556,0.0146448,0.0001613,0.09959,-0.0391702
20,CMz,0.0035231,-0.0224075,-0.0465849,0.0169961,-0.0671784,0.0192938,0.0003404,0.000034,0.004705,-0.0052975,0.1116859,-0.0361326
21,CMz,0.003328,-0.0105448,-0.0120581,-0.0010453,-0.0523656,0.0138791,-0.0001773,-0.0000177,0.017644,-0.0004216,0.130784,-0.0388851
22,CMz,0.0032461,-0.0036568,-0.0497944,-0.030188,-0.0159018,0.0087836,0.0000212,0.0000021,0.0041623,-0.0000733,0.1427536,-0.0362194
23,CMz,0.0031769,-0.0008775,-0.0668729,-0.044088,-0.0769794,-0.0007036,-0.0003423,-0.0000342,0.0056109,-0.0003003,0.1479786,-0.0360182
24,CMz,0.0031724,-0.0020554,-0.0581548,-0.0557639,0.0523552,0.006664,0.0004089,0.0000409,0.0058357,-0.000536,0.159485,-0.0304302
25,CMz,0.0031221,-0.0025634,-0.0746892,-0.0711637,-0.0556564,-0.0022707,-0.0000249,-0.0000025,0.0081033,-0.0064363,0.1592475,-0.0323614
-12,CS,-0.0013494,0.0467706,-0.1793333,0.0214167,0.0758154,0.2256965,0.0035916,0.0003592,0.003272,0.0069993,0.0322871,-0.1854598
-11,CS,-0.0008833,0.0048723,-0.2265263,0.0137791,0.0026582,0.2323809,-0.000027,-0.0000027,-0.0014059,0.0026089,0.0267135,-0.1898873
-10,CS,-0.0007864,0.0036852,-0.2337257,0.0093779,0.4296382,0.2222626,-0.0001728,-0.0000173,-0.001041,0.0424549,0.0252243,-0.1900902
-9,CS,-0.0007207,0.0065594,-0.2487781,0.005276,0.0141661,0.2241946,-0.0001697,-0.000017,-0.0015013,-0.0001667,0.0241155,-0.1901712
-8,CS,-0.000645,-0.1055467,-0.3094314,0.0058617,-0.2019277,0.2304291,-0.000403,-0.0000403,-0.0199109,-0.0008817,0.0218157,-0.190001
-7,CS,-0.0004496,-0.0527687,-0.278538,0.0009107,-0.1067823,0.3253691,-0.000066,-0.0000066,0.0021165,0.0000007,0.0226981,-0.1887824
-6,CS,-0.0004389,0.0069539,-0.2376212,-0.0151168,-0.0318213,0.3388177,-0.0001055,-0.0000105,0.0575693,-0.0000288,0.0207397,-0.1889304
-5,CS,-0.0000005,-0.0732943,-0.1048173,-0.0070368,-0.2252534,0.163291,-0.0009621,-0.0000962,0.0036973,-0.0034658,0.0140533,-0.2066116
-4,CS,-0.0002127,-0.0002095,-0.2501762,-0.0225244,0.0025171,0.2298274,-0.000057,-0.0000057,0.0019397,0.0005654,0.0185493,-0.1911496
-3,CS,-0.0001203,0.0346091,-0.2463518,-0.0242918,0.0233681,0.2318856,0.0000019,0.0000002,0.0005704,0.0002629,0.0170275,-0.1884592
-2,CS,-0.0000155,0.016376,-0.1755228,-0.0317825,0.0148235,0.2417718,-0.0001418,-0.0000142,-0.0014042,0.0013877,0.0165555,-0.1891763
-1,CS,0.000106,0.0054918,-0.2988345,-0.0309763,0.0135161,0.231786,-0.0002104,-0.000021,-0.0038151,-0.0025896,0.0082334,-0.1906607
0,CS,0.0001978,0.0060592,-0.2651406,-0.0404542,0.0070243,0.2451355,-0.0001477,-0.0000148,-0.000761,0.0007173,0.0130704,-0.1872091
1,CS,0.0002909,0.0065808,-0.2629165,-0.0462739,0.0180038,0.245343,-0.0000888,-0.0000089,-0.000991,0.0007251,0.0120662,-0.1866801
2,CS,0.0003848,0.0063064,-0.2606702,-0.0527971,0.0165907,0.2480447,0.0004385,0.0000439,-0.0008795,0.0008436,0.0112455,-0.1866254
3,CS,0.0005116,0.0062337,-0.2683367,-0.059031,0.0198395,0.2521424,0.0001214,0.0000121,-0.0009331,0.0009697,0.0112914,-0.1855232
4,CS,0.0006094,0.0086608,-0.2618791,-0.0655393,0.0216207,0.2539732,-0.0001015,-0.0000102,-0.0036278,0.0010386,0.0096753,-0.1856055
5,CS,0.0006814,0.0056451,-0.2611999,-0.0722274,0.0176534,0.2568953,0.0001221,0.0000122,-0.0007617,0.0011459,0.0089679,-0.1726237
6,CS,0.0008231,0.0069608,-0.5454898,-0.1137213,0.0222545,0.2622864,-0.0004317,-0.0000432,-0.0369323,0.0011814,0.0084874,-0.1841302
7,CS,0.0009083,0.0067329,-0.2649846,-0.0871922,0.013346,0.2663729,0.000171,0.0000171,-0.001104,0.0012997,0.0078105,-0.1833827
8,CS,0.0010239,0.0043282,-0.2677045,-0.0942588,0.0145239,0.273353,0.0001839,0.0000184,-0.0013211,0.0013541,0.0070564,-0.1822396
9,CS,0.0010697,0.0062917,-0.2621524,-0.1008543,0.0122155,0.2797156,0.0001736,0.0000174,-0.0012283,0.0014733,0.0063733,-0.1809865
10,CS,0.0011632,-0.0026647,-0.2764097,-0.1068221,-0.0358167,0.210988,0.0000886,0.0000089,-0.0012932,-0.0616633,0.0054271,-0.1804324
11,CS,0.0013196,0.0041566,-0.2677984,-0.1128309,-0.3622645,0.2437531,-0.002851,-0.0002851,-0.0013723,-0.0389723,0.00415,-0.1787959
12,CS,0.0014619,0.006529,-0.2630993,-0.1167663,0.016385,0.2987286,-0.002647,-0.0002647,-0.001459,0.0015608,0.0027215,-0.179729
13,CS,0.0016109,-0.022985,-0.0953845,-0.1041406,-0.0336638,0.2876735,0.0006154,0.0000615,-0.0046797,0.0015622,-0.0157338,-0.1344244
14,CS,0.001794,0.0061817,-0.0224097,-0.0945042,0.0443728,0.2784579,0.000684,0.0000684,-0.0094294,0.0023631,-0.0336893,-0.1313509
15,CS,0.002027,0.0219648,0.0754997,-0.0355678,0.073792,0.2343395,0.0005503,0.000055,-0.0035762,0.0017357,-0.03583,-0.1166549
16,CS,0.0026629,-0.1872251,-0.6143785,-0.2771032,-0.2099418,0.4338598,0.0007676,0.0000768,-0.1091388,0.0071898,-0.0182967,-0.1688711
17,CS,0.0015922,-0.0590616,-0.993772,-0.3333805,-0.8746906,0.3613742,0.0030553,0.0003055,0.028862,0.0008736,-0.05651,-0.2114325
18,CS,0.001763,0.0410043,-0.9245216,-0.5221796,4.1881288,1.054423,0.0100973,0.0010097,0.0064756,-0.0067707,-0.0304227,-0.2708628
19,CS,0.0023646,-0.0114588,0.1351078,0.1845416,-0.2114222,0.1973272,-0.02025,-0.002025,-0.0268987,0.0016977,-0.0438984,-0.1226481
20,CS,0.0023893,-0.022652,0.1436514,-0.117921,0.0506493,0.333456,0.0035232,0.0003523,-0.008099,-0.00173,-0.0339147,-0.1292878
21,CS,0.0022224,-0.0097605,0.6936952,-0.0204375,-0.1653881,0.3286687,0.000265,0.0000265,0.0794529,0.0014114,-0.0339576,-0.1296033
22,CS,0.0021953,0.0108849,-0.0094544,-0.0675787,-0.041846,0.2674391,-0.0000299,-0.000003,-0.0083158,0.0014713,-0.025005,-0.1373894
23,CS,0.0022841,0.0102958,0.0203183,-0.0585795,0.0232071,0.3340401,-0.0000371,-0.0000037,0.0017664,0.0031082,-0.0231563,-0.14343
24,CS,0.0024236,0.0085085,0.0030817,-0.0555845,0.0493312,0.3474998,0.000035,0.0000035,-0.0000872,0.0055722,-0.0178439,-0.1445022
25,CS,0.0025879,0.0151389,0.0083596,-0.0603079,0.0876311,0.3757705,0.0012103,0.000121,0.001276,0.0070971,-0.014581,-0.134399